epoch	batch	loss	acc	lr
0	1	0.6957293748855591	0.5	0.001
0	2	0.47835466265678406	1.0	0.001
0	3	0.8790305852890015	0.5	0.001
0	4	1.8854001760482788	0.0	0.001
0	5	0.9514337778091431	0.5	0.001
0	6	0.2878836691379547	1.0	0.001
0	7	1.2480807304382324	0.0	0.001
0	8	0.6258945465087891	1.0	0.001
0	9	0.6941474676132202	0.5	0.001
0	10	0.5619558095932007	1.0	0.001
0	11	0.7758685946464539	0.5	0.001
0	12	0.2652454674243927	1.0	0.001
0	13	1.0519179105758667	0.5	0.001
0	14	1.063987374305725	0.5	0.001
0	15	1.78328537940979	0.0	0.001
0	16	0.7726383805274963	0.5	0.001
0	17	0.6989801526069641	0.5	0.001
0	18	0.7469078302383423	0.5	0.001
0	19	0.878251850605011	0.5	0.001
0	20	0.9969745874404907	0.5	0.001
0	21	1.6924707889556885	0.0	0.001
0	22	0.7824995517730713	0.5	0.001
0	23	0.6944330930709839	0.5	0.001
0	24	0.7469228506088257	0.5	0.001
0	25	0.8585429787635803	0.5	0.001
0	26	1.6097276210784912	0.0	0.001
0	27	0.8171373605728149	0.5	0.001
0	28	0.6956357955932617	0.5	0.001
0	29	0.5643625855445862	1.0	0.001
0	30	0.8413766622543335	0.5	0.001
0	31	1.0149281024932861	0.5	0.001
0	32	2.274590492248535	0.0	0.001
0	33	1.0004127025604248	0.5	0.001
0	34	0.30122312903404236	1.0	0.001
0	35	1.0971486568450928	0.0	0.001
0	36	0.6763575673103333	0.5	0.001
0	37	0.7942863702774048	0.5	0.001
0	38	0.2059275209903717	1.0	0.001
0	39	1.2286146879196167	0.5	0.001
0	40	1.2604243755340576	0.5	0.001
0	41	2.082305669784546	0.0	0.001
0	42	1.4752676486968994	0.0	0.001
0	43	0.7266294956207275	0.0	0.001
0	44	1.0567328929901123	0.0	0.001
0	45	0.7267712354660034	0.5	0.001
0	46	1.0168628692626953	0.0	0.001
0	47	0.6581171751022339	0.5	0.001
0	48	1.0947901010513306	0.0	0.001
0	49	0.40957117080688477	1.0	0.001
0	50	1.2888182401657104	0.0	0.001
0	51	0.8201062679290771	0.5	0.001
0	52	0.6138206720352173	1.0	0.001
0	53	0.7068603038787842	0.5	0.001
0	54	0.6418135166168213	0.5	0.001
0	55	0.7183746099472046	0.5	0.001
0	56	0.4917756915092468	1.0	0.001
0	57	0.9729533195495605	0.5	0.001
0	58	0.1569359004497528	1.0	0.001
0	59	1.3007841110229492	0.5	0.001
0	60	2.66300106048584	0.0	0.001
0	61	1.1774218082427979	0.5	0.001
0	62	0.24369359016418457	1.0	0.001
0	63	0.3839445114135742	1.0	0.001
0	64	0.37730473279953003	1.0	0.001
0	65	0.3243536949157715	1.0	0.001
0	66	1.558728814125061	0.0	0.001
0	67	0.30183613300323486	1.0	0.001
0	68	0.845751166343689	0.5	0.001
0	69	1.2999281883239746	0.0	0.001
0	70	0.5530094504356384	1.0	0.001
0	71	0.6808553338050842	1.0	0.001
0	72	0.824196457862854	0.0	0.001
0	73	0.6802631616592407	0.5	0.001
0	74	0.7810854911804199	0.5	0.001
0	75	0.9999539852142334	0.5	0.001
0	76	0.1887294054031372	1.0	0.001
0	77	2.0519306659698486	0.0	0.001
0	78	1.7585623264312744	0.0	0.001
0	79	0.7562016248703003	0.5	0.001
0	80	0.670512318611145	0.5	0.001
1	1	0.26589033007621765	1.0	0.001
1	2	0.06403231620788574	1.0	0.001
1	3	4.114858627319336	0.0	0.001
1	4	0.00924670696258545	1.0	0.001
1	5	4.856776237487793	0.0	0.001
1	6	2.546772003173828	0.5	0.001
1	7	2.3509483337402344	0.5	0.001
1	8	1.980332612991333	0.5	0.001
1	9	1.3953194618225098	0.5	0.001
1	10	0.800936758518219	0.5	0.001
1	11	0.8395392894744873	0.5	0.001
1	12	2.0197181701660156	0.0	0.001
1	13	1.3137307167053223	0.5	0.001
1	14	1.383510708808899	0.5	0.001
1	15	0.09169530868530273	1.0	0.001
1	16	2.4253454208374023	0.0	0.001
1	17	0.22461003065109253	1.0	0.001
1	18	1.4462472200393677	0.0	0.001
1	19	0.7701070308685303	0.0	0.001
1	20	0.7365542650222778	0.5	0.001
1	21	1.5983911752700806	0.0	0.001
1	22	0.892963707447052	0.5	0.001
1	23	0.9342045187950134	0.5	0.001
1	24	1.0412594079971313	0.0	0.001
1	25	0.5682806372642517	1.0	0.001
1	26	1.9056804180145264	0.0	0.001
1	27	0.10110926628112793	1.0	0.001
1	28	2.810234785079956	0.0	0.001
